Data is Provisional and subject to change. Data presented is reported as of 2/26/2021
CountyName,AdministeredCount,AdministeredCountChange,AdministeredCountRollAvg,PersonsFullyVaccinated,Report_Date,PctVaccinatedPopulation
Illinois,335573,13356,23474.000000,61214,1/10/2021 12:00:00 AM,0.0048044592766076345176390071
Illinois,353791,18218,24232.000000,72458,1/11/2021 12:00:00 AM,0.0056869590333001597980704932
Illinois,384658,30867,25409.000000,83065,1/12/2021 12:00:00 AM,0.0065194630282519221290502846
Illinois,414296,29638,26703.000000,91947,1/13/2021 12:00:00 AM,0.0072165781864645697225039008
Illinois,447348,33052,27125.000000,101670,1/14/2021 12:00:00 AM,0.0079797003079801712256731768
Illinois,471157,23809,24506.000000,103711,1/15/2021 12:00:00 AM,0.0081398908098842484310592195
Illinois,487040,15883,23546.000000,104928,1/16/2021 12:00:00 AM,0.008235408615282220973418266
Illinois,495563,8523,22856.000000,105520,1/17/2021 12:00:00 AM,0.0082818724943254417992823214
Illinois,508732,13169,22134.000000,108479,1/18/2021 12:00:00 AM,0.0085141134032593783258562069
Illinois,537740,29008,21869.000000,112823,1/19/2021 12:00:00 AM,0.0088550578129954446561829923
Illinois,572389,34649,22585.000000,120944,1/20/2021 12:00:00 AM,0.0094924449104785465596323075
Illinois,616677,44288,24190.000000,128469,1/21/2021 12:00:00 AM,0.0100830541837897572262319992
Illinois,657820,41143,26666.000000,133949,1/22/2021 12:00:00 AM,0.0105131590100682202764600803
Illinois,681473,23653,27776.000000,136119,1/23/2021 12:00:00 AM,0.0106834742423719182361306891
Illinois,692763,11290,28171.000000,137990,1/24/2021 12:00:00 AM,0.0108303220763075029746300942
Illinois,719995,27232,30180.000000,145772,1/25/2021 12:00:00 AM,0.0114411023241357875470525262
Illinois,773623,53628,33698.000000,159996,1/26/2021 12:00:00 AM,0.0125574912016877690117321295
Illinois,829488,55865,36728.000000,178684,1/27/2021 12:00:00 AM,0.0140242428428359291363055565
Illinois,887845,58357,38738.000000,194471,1/28/2021 12:00:00 AM,0.0152633057794158736935958333
Illinois,945137,57292,41045.000000,208211,1/29/2021 12:00:00 AM,0.0163417072963987354290217156
Illinois,981988,36851,42931.000000,215397,1/30/2021 12:00:00 AM,0.0169057097200551287645945242
Illinois,996410,14422,43378.000000,219367,1/31/2021 12:00:00 AM,0.017217300260260511667770707
Illinois,1028969,32559,44139.000000,227362,2/1/2021 12:00:00 AM,0.017844798086190495625174632
Illinois,1094135,65166,45787.000000,244588,2/2/2021 12:00:00 AM,0.0191968027828096205345229761
Illinois,1156453,62318,46709.000000,256839,2/3/2021 12:00:00 AM,0.0201583382256449217805711918
Illinois,1231418,74965,49082.000000,272444,2/4/2021 12:00:00 AM,0.0213831166588703626380181272
Illinois,1294498,63080,49909.000000,284786,2/5/2021 12:00:00 AM,0.0223517943533829157339880136
Illinois,1342857,48359,51553.000000,295437,2/6/2021 12:00:00 AM,0.0231877517447500525858090523
Illinois,1358967,16110,51794.000000,299172,2/7/2021 12:00:00 AM,0.0234808980086460488435831185
Illinois,1417156,58189,55455.000000,311569,2/8/2021 12:00:00 AM,0.0244538924486778200906045641
Illinois,1480079,62923,55135.000000,327413,2/9/2021 12:00:00 AM,0.0256974291033413180044391841
Illinois,1549108,69029,56094.000000,346773,2/10/2021 12:00:00 AM,0.0272169235261061071745880255
Illinois,1644483,95375,59009.000000,374722,2/11/2021 12:00:00 AM,0.0294105366264084363334976313
Illinois,1724187,79704,61384.000000,399166,2/12/2021 12:00:00 AM,0.0313290553077133178663033275
Illinois,1783345,59158,62927.000000,414301,2/13/2021 12:00:00 AM,0.0325169451883199854329460297
Illinois,1823208,39863,66320.000000,422419,2/14/2021 12:00:00 AM,0.0331540968269565845281561689
Illinois,1863562,40354,63772.000000,430489,2/15/2021 12:00:00 AM,0.0337874811240491386915394927
Illinois,1903942,40380,60552.000000,446015,2/16/2021 12:00:00 AM,0.0350060591409833389320214613
Illinois,1977033,73091,61132.000000,472755,2/17/2021 12:00:00 AM,0.0371047823261450363705431565
Illinois,2060706,83673,59460.000000,507862,2/18/2021 12:00:00 AM,0.0398602002342030659881265952
Illinois,2138519,77813,59190.000000,540904,2/19/2021 12:00:00 AM,0.0424535439695849959344105837
Illinois,2151952,13433,52658.000000,546824,2/20/2021 12:00:00 AM,0.0429181827600172041930511385
Illinois,2211700,59748,55499.000000,571260,2/21/2021 12:00:00 AM,0.0448360735510647449038856989
Illinois,2254982,43282,55917.000000,590854,2/22/2021 12:00:00 AM,0.0463739337638567531166902649
Illinois,2310929,55947,58141.000000,619480,2/23/2021 12:00:00 AM,0.0486206820771865493349072449
Illinois,2440950,130021,66274.000000,671717,2/24/2021 12:00:00 AM,0.0527205699987756139981853972
Illinois,2543620,102670,68988.000000,725464,2/25/2021 12:00:00 AM,0.0569389722064377588085154477
